Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst
334	Spectrogram 1	1	2360510.93	2360515.337	14.9	36.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01d_201801_jan\nn01d_20180127_000000.wav	29314.08	nn01d_20180127_000000.wav	nn01d	8	27-Jan-18	27-Jan-18				sko
335	Spectrogram 1	1	2363749.734	2363753.688	15	31.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01d_201801_jan\nn01d_20180127_000000.wav	32552.884	nn01d_20180127_000000.wav	nn01d	9	27-Jan-18	27-Jan-18				sko
336	Spectrogram 1	1	2371378.828	2371385.354	25.5	39.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01d_201801_jan\nn01d_20180127_000000.wav	40181.978	nn01d_20180127_000000.wav	nn01d	11	27-Jan-18	27-Jan-18				sko
826	Spectrogram 1	1	4080735.431	4080740.751	21.2	40	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22722.894	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
827	Spectrogram 1	1	4080739.273	4080742.302	22.4	30.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22726.736	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				edr
828	Spectrogram 1	1	4080739.791	4080741.86	34.4	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22727.254	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
829	Spectrogram 1	1	4080741.933	4080746.625	20	30.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22729.396	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				edr
830	Spectrogram 1	1	4080748.569	4080753.298	33.3	48.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22736.032	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
831	Spectrogram 1	1	4080750.49	4080757.879	23.3	35.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22737.953	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
832	Spectrogram 1	1	4080753.313	4080754.68	33.3	49.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22740.776	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				edr
833	Spectrogram 1	1	4080765.195	4080767.929	18.9	32.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22752.658	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
834	Spectrogram 1	1	4080765.453	4080769.184	30	45.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22752.916	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
835	Spectrogram 1	1	4080769.961	4080773.619	18.9	31.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22757.424	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
836	Spectrogram 1	1	4080771.549	4080775.613	34.4	45.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22759.012	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
837	Spectrogram 1	1	4080779.234	4080781.894	32.2	46.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22766.697	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18			marginal	sag
838	Spectrogram 1	1	4080781.118	4080783.63	17.8	30	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22768.581	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
839	Spectrogram 1	1	4080798.483	4080802.51	26.7	45.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22785.946	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
840	Spectrogram 1	1	4080805.118	4080809.551	31.1	44.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22792.581	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
841	Spectrogram 1	1	4080816.83	4080819.749	31.1	46.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22804.293	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
842	Spectrogram 1	1	4080830.574	4080834.121	31.1	43.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	22818.037	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
843	Spectrogram 1	1	4081048.606	4081050.047	18.9	33.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn02e_201804_apr\nn02e_20180906_000000.wav	23036.069	nn02e_20180906_000000.wav	nn02e	6	6-Sep-18	6-Sep-18				sag
964	Spectrogram 1	1	4509201.047	4509204.402	22	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	19486.509	nn03a_20180709_000000.wav	nn03a	5	9-Jul-18	9-Jul-18				sag
965	Spectrogram 1	1	4509213.532	4509216.477	22	39.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	19498.994	nn03a_20180709_000000.wav	nn03a	5	9-Jul-18	9-Jul-18				sag
