Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst
1	Spectrogram 1	1	48860.426	48866.68825	21.1	49.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	48860.426	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
2	Spectrogram 1	1	48865.1	48868.99737	18	47.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	48865.1	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
3	Spectrogram 1	1	48869.829	48874.09624	18	49.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	48869.829	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
4	Spectrogram 1	1	48876.017	48880.08103	13.7	58.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	48876.017	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
5	Spectrogram 1	1	48880.487	48884.80965	16.9	57.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	48880.487	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
6	Spectrogram 1	1	49017.105	49020.68874	8.5	57.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	49017.105	nn01a_20180126_000000.wav	nn01a	13	26-Jan-18	26-Jan-18				sag
7	Spectrogram 1	1	51113.721	51116.7137	18	51.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	51113.721	nn01a_20180126_000000.wav	nn01a	14	26-Jan-18	26-Jan-18			faint	sag
8	Spectrogram 1	1	51117.157	51120.26044	16.9	46.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	51117.157	nn01a_20180126_000000.wav	nn01a	14	26-Jan-18	26-Jan-18			faint	sag
9	Spectrogram 1	1	51402.933	51407.95762	12.7	50.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180126_000000.wav	51402.933	nn01a_20180126_000000.wav	nn01a	14	26-Jan-18	26-Jan-18			faint	sag
10	Spectrogram 1	1	134283.0231	134284.9813	16.9	40.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180203_000000.wav	47942.93	nn01a_20180203_000000.wav	nn01a	13	3-Feb-18	3-Feb-18			faint	sag
11	Spectrogram 1	1	134300.1291	134303.1587	14.8	42.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180203_000000.wav	47960.036	nn01a_20180203_000000.wav	nn01a	13	3-Feb-18	3-Feb-18			faint	sag
12	Spectrogram 1	1	192765.4303	192769.4204	23.3	65.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180220_000000.wav	20085.244	nn01a_20180220_000000.wav	nn01a	5	20-Feb-18	20-Feb-18			faint/questionable	
13	Spectrogram 1	1	265225.2744	265231.001	24.3	52.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	6205.507	nn01a_20180305_000000.wav	nn01a	1	5-Mar-18	5-Mar-18			faint	sag
14	Spectrogram 1	1	265396.9764	265400.634	25.4	47.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	6377.209	nn01a_20180305_000000.wav	nn01a	1	5-Mar-18	5-Mar-18				sag
15	Spectrogram 1	1	266498.7744	266503.3926	24.3	65.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	7479.007	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
16	Spectrogram 1	1	266713.6664	266720.6861	20.1	62.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	7693.899	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
17	Spectrogram 1	1	266964.5127	266972.0406	22.703	39.73	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	7944.7452	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18			marginal	sag
18	Spectrogram 1	1	267097.9474	267104.5237	19	83.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	8078.18	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
19	Spectrogram 1	1	267230.8334	267236.2644	20.1	69.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	8211.066	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
20	Spectrogram 1	1	267432.4024	267436.5957	19	75.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	8412.635	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
21	Spectrogram 1	1	267436.6334	267439.9215	19	65.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	8416.866	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
22	Spectrogram 1	1	267562.9584	267567.4658	15.9	47.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	8543.191	nn01a_20180305_000000.wav	nn01a	2	5-Mar-18	5-Mar-18				sag
23	Spectrogram 1	1	271261.9504	271267.1043	27.5	62.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12242.183	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
